id	longitude	latitude	country
512	-82.95	45.63	Canada
513	-75.85	44.42	United States of America
514	-77.42	45.57	Canada
515	-76.6	44.22	Canada
516	-75.67	45.32	Canada
517	-77.32	45.95	Canada
518	-79.78	44.38	Canada
519	-79.87	44.85	Canada
520	-80.53	45.8	Canada
521	-80.22	44.5	Canada
522	-79.22	44.55	Canada
523	-79.3	44.97	Canada
524	-81.11	44.75	Canada
525	-80.02	44.52	Canada
526	-80.37	45.03	Canada
527	-79.92	44.27	Canada
528	-81.73	45.33	Canada
529	-81.72	43.77	Canada
530	-81.27	44.72	Canada
531	-82.31	42.99	Canada
532	-82.7	42.3	Canada
533	-80.55	42.87	Canada
534	-80.05	42.57	Canada
535	-79.22	43.25	Canada
536	-79.17	43.2	Canada
537	-80.27	42.85	Canada
538	-80.27	42.85	Canada
539	-82.47	41.83	Canada
540	-79.25	42.87	Canada
541	-81.9	42.25	Canada
542	-81.15	43.03	Canada
543	-80.75	43.98	Canada
544	-80.75	43.98	Canada
545	-80.38	43.45	Canada
546	-79.8	43.3	Canada
547	-78.17	43.95	Canada
548	-79.93	43.17	Canada
549	-77.15	43.83	Canada
550	-77.63	44.32	Canada
551	-79.48	43.75	Canada
552	-79.39	43.63	Canada
553	-79.63	43.68	Canada
554	-79.13	43.95	Canada
555	-77.53	44.12	Canada
556	-79.37	43.86	Canada
557	-78.37	44.23	Canada
558	-77.88	45.07	Canada
560	-73.44	45.81	Canada
561	-71.23	47.56	Canada
562	-71.38	46.8	Canada
563	-72.73	46.56	Canada
565	-72.68	46.35	Canada
566	-71.5	46.9	Canada
567	-71.5	46.9	Canada
568	-70.78	46.2	Canada
569	-72.06	46.3	Canada
570	-73.58	45.51	Canada
571	-73.55	45.48	Canada
572	-72.24	45.31	Canada
573	-73.75	45.47	Canada
574	-72.66	46.23	Canada
575	-73.68	45.17	Canada
576	-73.42	45.52	Canada
577	-71.68	45.43	Canada
578	-72.58	45.15	Canada
579	-74.29	45.12	Canada
580	-75.57	45.52	Canada
581	-76.01	46.3	Canada
582	-75.99	46.27	Canada
583	-74.03	45.67	Canada
584	-74.28	46.05	Canada
585	-74.56	46.08	Canada
586	-68.2	49.13	Canada
588	-57.18	51.45	Canada
589	-70.64	47.28	Canada
591	-70.78	47.08	Canada
592	-68.13	51.95	Canada
595	-63.6	50.28	Canada
596	-63.28	51.87	Canada
598	-68.83	50.65	Canada
599	-64.13	50.28	Canada
601	-66.27	50.22	Canada
602	-63.28	51.87	Canada
604	-67.44	48.47	Canada
606	-65.32	49.25	Canada
607	-64.48	48.78	Canada
608	-61.87	47.38	Canada
610	-68.22	48.6	Canada
612	-68.47	48.51	Canada
614	-64.45	49.85	Canada
615	-64.29	49.84	Canada
617	-69.55	47.8	Canada
618	-69.55	47.81	Canada
619	-66.65	49.11	Canada
620	-71	48.33	Canada
621	-71.01	50.73	Canada
622	-73.36	49.28	Canada
623	-71.17	49.84	Canada
624	-71.15	48.42	Canada
625	-71.72	48.6	Canada
626	-72.55	48.84	Canada
627	-71.03	48.89	Canada
628	-72.27	48.52	Canada
629	-71.11	51.53	Canada
630	-74.62	47.92	Canada
631	-72.79	47.41	Canada
632	-79.24	47.55	Canada
633	-79.46	48.63	Canada
634	-79.03	48.25	Canada
635	-78.83	48.22	Canada
636	-74.87	49.78	Canada
637	-74.53	49.77	Canada
638	-74.42	49.82	Canada
639	-74.53	49.77	Canada
640	-78.52	52.23	Canada
641	-77.7	53.63	Canada
642	-76.2	53.57	Canada
643	-73.68	53.76	Canada
644	-77.81	49.77	Canada
645	-77.82	49.77	Canada
646	-76.12	51.7	Canada
647	-70.9	53.2	Canada
648	-77.79	48.06	Canada
649	-78.75	51.48	Canada
650	-78.83	53.02	Canada
651	-78.15	60.82	Canada
652	-78.08	58.47	Canada
653	-78.08	58.47	Canada
654	-78.08	58.47	Canada
656	-77.75	55.28	Canada
657	-77.28	60.05	Canada
