id	longitude	latitude	country
1220	14.3	68.58	NA
1221	14.29	68.57	NA
1224	14.29	68.57	NA
1225	14.43	68.6	NA
1226	14.43	68.61	NA
1228	14.65	68.15	NA
1229	14.64	68.14	NA
1230	14.67	68.25	NA
1231	14.67	68.23	NA
1234	15.01	68.57	NA
1235	15.02	68.57	NA
1237	14.78	67.83	NA
1239	15.42	68.7	NA
1240	15.41	68.69	NA
1242	15.41	68.69	NA
1250	15.32	67.23	NA
1251	15.32	67.23	NA
1254	15.65	68.32	NA
1255	15.65	68.32	NA
1257	16.53	68.8	NA
1260	16.68	68.95	NA
1261	16.68	68.93	NA
1262	16.68	68.93	NA
1266	17.32	68.28	NA
1267	17.32	68.28	NA
1269	17.4	68.43	NA
1270	17.39	68.44	NA
1278	4.98	62.03	NA
1279	4.98	62.03	NA
1280	4.98	62.03	NA
1282	5.27	62.33	NA
1283	5.27	62.33	NA
1284	5.26	62.32	NA
1285	7.23	62.62	NA
1286	5.27	62.33	NA
1287	5.27	62.33	NA
1291	6.1	62.57	NA
1292	6.12	62.57	NA
1293	6.55	62.87	NA
1294	6.55	62.87	NA
1295	6.55	62.87	NA
1296	6.53	62.87	NA
1297	6.52	62.86	NA
1300	7.37	63.03	NA
1301	7.22	62.62	NA
1302	7.22	62.62	NA
1305	7.25	62.73	NA
1310	7.75	63.12	NA
1311	7.83	63.12	NA
1312	7.82	63.11	NA
1313	7.8	63.1	NA
1314	4.68	63.47	NA
1315	7.75	63.47	NA
1316	7.75	63.46	NA
1319	7.95	63.52	NA
1323	8.47	63.85	NA
1324	8.45	63.85	NA
1325	8.45	63.84	NA
1326	8.47	63.85	NA
1340	9.12	63.52	NA
1341	9.11	63.52	NA
1347	9.42	64.18	NA
1348	9.4	64.17	NA
1349	9.42	64.17	NA
1350	9.41	64.17	NA
1363	9.73	63.85	NA
1370	10.47	64.4	NA
1371	10.47	64.4	NA
1372	10.45	64.4	NA
1373	10.45	64.4	NA
1374	10.55	64.8	NA
1375	10.55	64.8	NA
1376	10.55	64.72	NA
1395	11.2	63.8	NA
1397	11.45	64.02	NA
1398	11.2	63.8	NA
1399	11.57	69.8	NA
1409	11.13	64.83	NA
1414	11.58	64.47	NA
1415	11.57	64.47	NA
1434	2.27	61.19	NA
1435	2.27	61.2	NA
1436	4.68	61.57	NA
1437	4.68	61.57	NA
1438	4.68	61.57	NA
1439	4.72	60.75	NA
1440	4.72	60.75	NA
1441	4.68	61.57	NA
1442	4.72	60.75	NA
1443	4.72	60.78	NA
1444	4.8	61.57	NA
1445	4.8	61.57	NA
1446	5.03	61.58	NA
1447	5.02	61.57	NA
1455	5.38	61.03	NA
1456	5.38	61.03	NA
1481	6.27	60.35	NA
1482	5.98	60.22	NA
1483	5.98	60.22	NA
1484	5.98	60.22	NA
1485	5.98	60.21	NA
1490	6.65	61.17	NA
1491	6.65	61.17	NA
1492	6.65	61.17	NA
1502	6.75	61.87	NA
1567	2.03	61.03	NA
1578	2.03	61.03	NA
1612	3.22	56.53	NA
1613	3.21	56.53	NA
1614	3.22	56.53	NA
1615	3.35	56.9	NA
1616	3.35	56.9	NA
1617	2.25	59.98	NA
1618	4.88	59.3	NA
1619	4.88	59.3	NA
1620	4.88	59.3	NA
1621	4.87	59.3	NA
1622	5.07	59.9	NA
1623	5.07	59.92	NA
1624	5.06	59.92	NA
1629	5.42	59.07	NA
1631	5.55	58.65	NA
1635	5.5	59.58	NA
1669	7.05	57.98	NA
1670	7.05	57.98	NA
1671	7.05	57.98	NA
1691	8.05	58.07	NA
1692	8.05	58.07	NA
1693	8.04	58.07	NA
1710	8.8	58.4	NA
1711	8.8	58.4	NA
1712	8.79	58.4	NA
1713	8.78	58.4	NA
1715	9.15	58.63	NA
1716	9.15	58.63	NA
1717	9.14	58.63	NA
1718	9.15	58.63	NA
1729	9.6	58.87	NA
1730	9.6	58.87	NA
1731	9.55	58.85	NA
1732	9.55	58.85	NA
1736	9.77	58.98	NA
1738	10.52	59.32	NA
1740	10.53	59.03	NA
1741	10.53	59.03	NA
1742	10.53	59.03	NA
1743	10.52	59.03	NA
1753	10.62	59.88	NA
1766	10.83	59.15	NA
1840	20.77	63.6	NA
1880	17.87	58.75	NA
1881	19.2	58.4	NA
1883	11.78	57.7	NA
1894	16.6	57.78	NA
1895	17.1	57.37	NA
1898	12.45	56.3	NA
1905	15.7	55.95	NA
1906	15.7	55.95	NA
1907	15.8	56.03	NA
1908	15.8	56.03	NA
